,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
3776,40,blue-collar,married,secondary,no,580,yes,no,unknown,16,may,192,1,-1,0,unknown,0
9928,47,services,single,secondary,no,3644,no,no,unknown,9,jun,83,2,-1,0,unknown,0
33409,25,student,single,tertiary,no,538,yes,no,cellular,20,apr,226,1,-1,0,unknown,0
31885,42,management,married,tertiary,no,1773,no,no,cellular,9,apr,311,1,336,1,failure,0
15738,56,management,married,tertiary,no,217,no,yes,cellular,21,jul,121,2,-1,0,unknown,0
30813,28,blue-collar,married,secondary,no,1134,no,no,cellular,9,feb,130,3,-1,0,unknown,0
35463,24,management,single,tertiary,no,1085,no,yes,cellular,7,may,95,6,-1,0,unknown,0
31382,37,admin.,single,secondary,no,127,no,no,cellular,23,mar,83,4,-1,0,unknown,0
16904,30,blue-collar,single,secondary,no,3,yes,no,cellular,25,jul,51,1,-1,0,unknown,0
11930,38,technician,single,secondary,no,258,no,yes,unknown,20,jun,587,2,-1,0,unknown,0
34145,33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,-1,0,unknown,1
37828,48,blue-collar,divorced,secondary,no,65,yes,no,cellular,14,may,146,1,370,1,failure,0
1866,30,blue-collar,single,secondary,no,18,no,no,unknown,9,may,395,1,-1,0,unknown,0
31271,31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,112,2,106,1,failure,1
30574,30,management,single,tertiary,no,640,no,no,cellular,6,feb,124,4,213,2,failure,0
41828,30,management,single,tertiary,no,536,no,no,cellular,15,oct,244,1,105,1,success,1
37181,35,blue-collar,married,secondary,no,247,yes,yes,cellular,13,may,114,1,352,5,failure,0
39042,31,management,single,tertiary,no,518,yes,no,cellular,18,may,399,1,-1,0,unknown,0
5548,46,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,172,3,-1,0,unknown,0
34197,33,management,single,tertiary,no,5437,no,no,cellular,4,may,267,1,91,1,failure,1
26191,49,self-employed,divorced,secondary,no,-478,yes,yes,cellular,20,nov,291,1,-1,0,unknown,0
35078,35,management,married,tertiary,no,991,yes,no,cellular,6,may,1489,3,-1,0,unknown,1
34619,43,blue-collar,married,secondary,no,-755,yes,yes,cellular,5,may,162,1,337,1,failure,0
6427,44,blue-collar,divorced,secondary,no,-239,yes,no,unknown,27,may,111,3,-1,0,unknown,0
27377,33,entrepreneur,single,tertiary,no,3017,no,no,cellular,21,nov,240,3,-1,0,unknown,0
2729,33,services,married,secondary,no,184,yes,no,unknown,13,may,109,4,-1,0,unknown,0
40982,23,student,single,secondary,no,431,no,no,cellular,13,aug,496,2,-1,0,unknown,1
19151,47,blue-collar,married,primary,no,699,no,no,cellular,5,aug,203,1,-1,0,unknown,0
18900,60,technician,married,secondary,no,914,no,no,unknown,4,aug,64,1,-1,0,unknown,0
2055,51,blue-collar,married,tertiary,no,7816,yes,no,unknown,12,may,76,2,-1,0,unknown,0
