,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
3344,41,blue-collar,married,primary,no,849,yes,no,unknown,15,may,72,1,-1,0,unknown,0
17965,49,technician,married,primary,no,1415,yes,no,cellular,30,jul,269,2,-1,0,unknown,0
18299,42,admin.,married,secondary,no,3842,no,no,cellular,31,jul,130,4,-1,0,unknown,0
10221,37,management,single,tertiary,no,-119,yes,no,unknown,11,jun,375,11,-1,0,unknown,0
32192,56,blue-collar,married,primary,no,3498,no,no,cellular,15,apr,264,2,-1,0,unknown,1
23098,39,technician,single,secondary,no,3867,no,no,cellular,26,aug,257,12,-1,0,unknown,0
6633,30,management,single,tertiary,no,849,yes,no,unknown,28,may,261,6,-1,0,unknown,0
313,37,services,divorced,secondary,no,398,yes,yes,unknown,5,may,214,2,-1,0,unknown,0
12525,26,services,married,secondary,no,549,no,no,unknown,3,jul,149,1,-1,0,unknown,0
44313,55,technician,married,tertiary,no,1320,no,no,cellular,28,jul,340,1,91,2,success,1
5961,28,blue-collar,married,secondary,no,339,yes,no,unknown,26,may,100,2,-1,0,unknown,0
31708,44,unemployed,divorced,secondary,no,522,no,no,cellular,7,apr,411,1,-1,0,unknown,0
27650,47,housemaid,married,tertiary,no,333,no,no,telephone,21,nov,8,5,137,1,failure,0
24728,48,technician,divorced,secondary,no,0,no,yes,cellular,17,nov,318,1,-1,0,unknown,0
4194,34,technician,divorced,tertiary,no,501,yes,no,unknown,19,may,546,12,-1,0,unknown,0
43945,63,retired,married,secondary,no,23047,no,no,cellular,17,jun,530,1,139,2,other,0
4497,39,blue-collar,married,secondary,no,0,yes,yes,unknown,20,may,40,1,-1,0,unknown,0
17720,42,entrepreneur,married,tertiary,no,859,no,no,cellular,29,jul,180,10,-1,0,unknown,0
24696,43,management,married,tertiary,no,2767,yes,no,cellular,17,nov,374,1,186,7,failure,0
42319,35,technician,married,tertiary,no,3160,yes,no,cellular,16,nov,445,2,95,1,failure,1
27418,40,management,married,tertiary,no,1584,yes,no,telephone,21,nov,661,1,-1,0,unknown,0
24866,37,housemaid,single,tertiary,no,561,no,no,cellular,18,nov,188,1,165,2,failure,0
24242,43,services,married,secondary,no,3305,yes,no,cellular,17,nov,387,1,-1,0,unknown,0
4650,59,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,217,4,-1,0,unknown,0
8223,35,services,married,tertiary,no,0,yes,no,unknown,2,jun,312,2,-1,0,unknown,0
15239,60,retired,married,secondary,no,-222,no,no,cellular,17,jul,82,2,-1,0,unknown,0
33504,45,services,single,secondary,no,1757,yes,no,cellular,20,apr,1010,3,326,1,other,0
36962,40,services,married,secondary,no,56,yes,no,cellular,12,may,700,3,-1,0,unknown,0
10085,45,technician,married,secondary,no,3007,no,no,unknown,11,jun,442,1,-1,0,unknown,0
35288,24,admin.,married,secondary,no,61,yes,yes,cellular,7,may,278,1,343,2,other,0
14363,44,blue-collar,married,primary,no,3113,no,no,cellular,14,jul,331,2,-1,0,unknown,0
3063,42,admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,0
42210,49,management,married,primary,no,3371,no,no,cellular,11,nov,269,2,-1,0,unknown,1
2115,52,blue-collar,single,primary,no,210,yes,no,unknown,12,may,154,1,-1,0,unknown,0
7880,44,admin.,single,secondary,no,946,yes,no,unknown,30,may,181,4,-1,0,unknown,0
44862,54,services,single,secondary,no,0,no,no,cellular,23,sep,209,1,-1,0,unknown,1
32070,34,blue-collar,single,secondary,no,47,yes,no,cellular,14,apr,232,1,147,2,failure,0
248,39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,0
17227,40,technician,married,secondary,no,-496,no,no,telephone,28,jul,22,2,-1,0,unknown,0
10880,58,blue-collar,married,secondary,no,544,no,no,unknown,17,jun,97,1,-1,0,unknown,0
7627,38,management,married,tertiary,no,12855,yes,no,unknown,30,may,417,1,-1,0,unknown,0
35419,51,services,married,tertiary,no,218,yes,no,cellular,7,may,154,3,363,2,failure,0
9625,45,blue-collar,married,secondary,no,22928,no,no,unknown,6,jun,113,1,-1,0,unknown,0
44745,62,retired,married,secondary,no,2801,yes,yes,cellular,9,sep,261,1,183,1,success,1
9299,39,technician,single,tertiary,no,1646,yes,no,unknown,5,jun,474,2,-1,0,unknown,0
29343,51,technician,married,secondary,no,100,no,no,cellular,2,feb,467,2,-1,0,unknown,1
5231,33,technician,married,secondary,no,884,yes,no,unknown,23,may,271,1,-1,0,unknown,0
38989,31,admin.,single,secondary,no,1374,yes,no,cellular,18,may,290,2,370,1,failure,0
83,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,1
11925,33,blue-collar,single,secondary,no,13494,yes,no,unknown,20,jun,27,25,-1,0,unknown,0
2053,45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,-1,0,unknown,1
12750,46,unknown,married,unknown,no,2911,no,no,telephone,7,jul,41,9,-1,0,unknown,0
17940,53,blue-collar,divorced,primary,no,235,no,no,cellular,30,jul,241,2,-1,0,unknown,0
18175,48,admin.,married,tertiary,no,1015,no,yes,telephone,30,jul,100,3,-1,0,unknown,0
43514,42,housemaid,divorced,primary,no,273,no,no,cellular,21,apr,354,1,-1,0,unknown,0
22393,53,technician,married,secondary,no,0,no,no,cellular,22,aug,77,9,-1,0,unknown,0
10475,45,services,married,primary,no,7811,no,no,unknown,16,jun,143,2,-1,0,unknown,0
29067,38,technician,married,tertiary,no,447,yes,no,cellular,2,feb,224,1,269,1,failure,0
16156,61,technician,married,secondary,no,50,yes,no,cellular,22,jul,213,5,-1,0,unknown,0
32198,59,management,divorced,tertiary,no,893,yes,no,cellular,16,apr,206,4,-1,0,unknown,0
31544,57,management,married,tertiary,no,1631,yes,no,cellular,2,apr,254,2,261,3,failure,0
31959,30,management,married,tertiary,no,1418,yes,yes,cellular,13,apr,185,2,-1,0,unknown,0
38231,32,services,married,secondary,no,15,yes,no,cellular,15,may,391,1,-1,0,unknown,0
19888,44,technician,single,secondary,no,7138,no,no,cellular,8,aug,809,2,-1,0,unknown,1
37312,31,blue-collar,married,primary,no,951,yes,no,cellular,13,may,206,1,-1,0,unknown,0
15207,35,blue-collar,married,tertiary,no,1016,yes,no,cellular,17,jul,294,2,-1,0,unknown,0
26034,39,admin.,married,secondary,no,-982,yes,yes,cellular,19,nov,287,3,117,2,other,0
16900,37,services,married,secondary,no,775,no,yes,cellular,25,jul,1000,1,-1,0,unknown,1
41917,27,student,single,tertiary,no,1134,no,no,cellular,21,oct,825,1,183,4,success,1
8713,41,technician,married,unknown,no,-1136,yes,yes,unknown,4,jun,89,1,-1,0,unknown,0
15355,26,blue-collar,married,secondary,no,-384,yes,yes,cellular,18,jul,143,1,-1,0,unknown,0
4191,38,entrepreneur,married,secondary,no,680,yes,no,unknown,19,may,144,2,-1,0,unknown,0
25195,39,entrepreneur,married,secondary,no,11887,no,no,cellular,18,nov,1181,2,-1,0,unknown,1
15686,31,blue-collar,married,primary,no,-537,yes,yes,cellular,21,jul,1039,7,-1,0,unknown,1
43508,74,retired,married,tertiary,no,4912,no,no,telephone,20,apr,268,2,181,3,failure,0
31731,24,admin.,single,secondary,no,5,no,no,cellular,7,apr,66,1,330,1,failure,0
18076,51,admin.,married,secondary,yes,-160,no,yes,cellular,30,jul,118,4,-1,0,unknown,0
20520,43,management,married,tertiary,no,-526,no,no,cellular,12,aug,603,2,-1,0,unknown,0
35076,40,management,married,tertiary,no,429,yes,no,cellular,6,may,222,2,363,4,failure,0
8343,28,blue-collar,single,secondary,no,5149,yes,no,unknown,2,jun,232,3,-1,0,unknown,0
5960,32,technician,married,secondary,no,782,yes,no,unknown,26,may,116,4,-1,0,unknown,0
30780,38,blue-collar,married,primary,no,558,yes,no,cellular,6,feb,427,3,-1,0,unknown,0
3853,56,housemaid,married,primary,no,82,no,no,unknown,16,may,215,1,-1,0,unknown,0
34134,25,technician,single,secondary,no,1105,yes,no,cellular,30,apr,195,1,13,1,failure,0
40209,25,management,single,tertiary,no,6246,no,no,cellular,9,jun,98,3,-1,0,unknown,0
28644,26,admin.,single,secondary,no,1200,no,no,cellular,29,jan,232,3,-1,0,unknown,0
20154,37,technician,married,secondary,no,3043,no,no,cellular,11,aug,123,4,-1,0,unknown,0
28886,31,management,single,tertiary,no,358,yes,no,cellular,30,jan,68,3,256,51,failure,0
42746,55,management,married,unknown,no,831,yes,yes,telephone,27,jan,100,1,100,6,failure,0
35613,34,blue-collar,single,primary,no,279,yes,no,cellular,7,may,208,1,357,1,failure,0
5172,37,blue-collar,married,primary,no,1455,yes,no,unknown,21,may,165,2,-1,0,unknown,0
40243,47,technician,divorced,secondary,no,1013,no,no,cellular,15,jun,54,3,-1,0,unknown,0
2295,46,blue-collar,married,primary,no,0,yes,no,unknown,12,may,51,9,-1,0,unknown,0
24381,51,services,divorced,secondary,no,135,yes,yes,cellular,17,nov,862,1,-1,0,unknown,0
18641,53,services,married,secondary,no,514,yes,no,cellular,31,jul,10,3,-1,0,unknown,0
4640,44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,1
34751,49,management,married,tertiary,no,489,yes,no,cellular,6,may,65,1,358,1,failure,0
12435,55,management,married,tertiary,no,0,no,no,unknown,30,jun,111,2,-1,0,unknown,0
42436,29,admin.,single,tertiary,no,135,no,no,cellular,7,dec,248,1,-1,0,unknown,0
36916,44,blue-collar,single,secondary,no,492,no,yes,cellular,12,may,209,2,351,3,other,0
37137,41,technician,single,primary,no,340,yes,no,cellular,13,may,262,1,349,1,failure,0
28499,47,management,married,tertiary,yes,-337,no,yes,cellular,29,jan,243,4,161,2,failure,0
23473,36,technician,married,secondary,no,2473,no,no,cellular,28,aug,965,4,-1,0,unknown,1
25332,41,housemaid,divorced,primary,no,22,yes,no,cellular,18,nov,238,3,126,4,other,0
20052,43,management,married,tertiary,no,2759,yes,yes,cellular,8,aug,329,2,-1,0,unknown,0
16196,42,blue-collar,married,primary,no,-119,yes,no,cellular,22,jul,167,3,-1,0,unknown,0
23166,32,technician,single,tertiary,no,127,yes,no,cellular,27,aug,20,17,-1,0,unknown,0
5078,52,admin.,married,secondary,no,1933,yes,no,unknown,21,may,153,4,-1,0,unknown,0
42097,20,student,single,primary,no,0,no,no,cellular,2,nov,69,4,182,4,failure,0
32285,47,blue-collar,married,secondary,no,327,yes,no,cellular,16,apr,352,1,-1,0,unknown,0
22438,57,housemaid,married,secondary,no,0,no,no,cellular,22,aug,197,2,-1,0,unknown,0
30744,49,retired,divorced,secondary,no,-268,yes,no,cellular,6,feb,42,2,206,5,failure,0
15520,32,technician,single,secondary,no,2341,yes,no,cellular,18,jul,243,1,-1,0,unknown,0
17483,25,technician,single,secondary,no,218,yes,yes,cellular,28,jul,110,4,-1,0,unknown,0
9523,40,blue-collar,married,primary,no,343,no,no,unknown,6,jun,292,2,-1,0,unknown,0
15652,44,management,married,tertiary,no,1590,yes,yes,cellular,21,jul,54,8,-1,0,unknown,0
4974,27,services,married,secondary,no,1303,yes,yes,unknown,21,may,364,1,-1,0,unknown,0
431,42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,-1,0,unknown,0
11511,52,entrepreneur,married,tertiary,no,0,no,no,unknown,19,jun,163,3,-1,0,unknown,0
39545,30,technician,single,tertiary,no,411,no,no,cellular,26,may,111,1,35,1,failure,0
40791,55,technician,married,tertiary,no,199,no,no,cellular,11,aug,151,1,-1,0,unknown,0
19085,55,blue-collar,married,secondary,no,5443,no,yes,cellular,5,aug,264,2,-1,0,unknown,0
8313,43,management,married,unknown,no,498,yes,no,unknown,2,jun,73,5,-1,0,unknown,0
28372,37,admin.,divorced,tertiary,no,195,yes,no,cellular,29,jan,39,1,-1,0,unknown,0
6324,48,management,divorced,tertiary,no,108,yes,no,unknown,27,may,89,2,-1,0,unknown,0
23947,34,technician,married,secondary,no,563,yes,yes,cellular,29,aug,32,15,-1,0,unknown,0
